Laptop Name,Laptop Price,Laptop Sold
"Hp Chromebook 11 G6 EE - 4GB RAM DDR4 - 16GB SSD EMMC - Playstore supported - 11.6"" screen","9,699",8 sold
"RGB Gaming PC with 4 RGB Fans, H81 Motherboard, Core i7 4th, 16GB RAM, 128GB SSD, 500GB HDD, 4GB NVIDIA GEFORCE GTX 1050ti","73,999",19 sold
"Samsung Chromebook 500C - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","9,999",6 sold
"HP Victus 16-D0023DX Gaming Laptop 11th Gen Core i5-11400H, 8GB DDR4, 256GB SSD, NVIDIA RTX3050 4GB, 16.1"" FHD IPS, Windows 11 Home","260,000",N/A
Lenovo Thinkpad X250 - Core i5 5th Generation - 8GB RAM - 500GB HDD - 12.5inches Screen - FREE LAPTOP BAG,"29,999",85 sold
"HP ProBook 450G9 Intel Core i7 1255U Turbo up to 3.5 GHz, 8GB, 512, 15.6""FHD, AG+BL K/B, Intel9560 Ac2x2, FINGER PRINT, WEBCAM HD, DOS,HP Carrying Case Pike Silver Aluminum (1 year Warranty)","229,999",N/A
"Dell Latitude 7400 2-in-1 14"" | FHD Touchscreen X360 Laptop | 8th Gen | Intel Quad Core i7-8665U | 16GB RAM | 256GB SSD | Backlit Keyboard | Windows 10 Pro","94,865",N/A
"Dell Precision T 1700 , CORE i5 4Th , 8GB DDR3 RAM, 128GB SSD, 500GB HDD, 2GB GRAPHIC CARD","25,500",46 sold
"Lenovo IdeaPad Slim 3 Intel Core i5-13420H Turbo up to 3.4GHz 8GB Soldered LPDDR5-4800 512GB SSD M.2 2242 PCIe NVMe 15.6"" FHD IPS 300nits Anti glare DOS Arctic Grey (2 Year Warranty)","153,000",N/A
Acer Chromebook C740 | 11.6 Inches | HD plus Display | 2GB Ram | 128GB SSD | FREE LAPTOP BAG | Windows 10 Installed | WiFi | Webcam | HDMI | USB Ports | Loudspeaker | Long Time Battery | Like New | 10/10 Condition | With Adapter (Charger),"13,999",120 sold
"HP EliteBook 850 G6 15.6"" Laptop | Intel i7 8665U 1.9GHz | 16GB DDR4 RAM | 512GB NVMe M.2 SSD | 1080p Full HD | USB C Thunderbolt 3 | Windows 10 Pro","124,999",N/A
"Like New Laptops HP ProBook 650 G1 15.6"" Business Ultrabook: Intel Core i5-4Th Gen 500GB 4GB DDR3 (1920x1080) FHD DVD - Window 10 Pro","40,000",N/A
